Movie_Title,IMDB_Rating,Cast
The Shawshank Redemption,9.3,Tim Robbins
The Shawshank Redemption,9.3,Morgan Freeman
The Shawshank Redemption,9.3,Bob Gunton
The Shawshank Redemption,9.3,William Sadler
The Godfather,9.2,Marlon Brando
The Godfather,9.2,Al Pacino
The Godfather,9.2,James Caan
The Godfather,9.2,Diane Keaton
The Dark Knight,9.0,Christian Bale
The Dark Knight,9.0,Heath Ledger
The Dark Knight,9.0,Aaron Eckhart
The Dark Knight,9.0,Michael Caine
The Godfather: Part II,9.0,Al Pacino
The Godfather: Part II,9.0,Robert De Niro
The Godfather: Part II,9.0,Robert Duvall
The Godfather: Part II,9.0,Diane Keaton
The Lord of the Rings: The Return of the King,8.9,Elijah Wood
The Lord of the Rings: The Return of the King,8.9,Viggo Mortensen
The Lord of the Rings: The Return of the King,8.9,Ian McKellen
The Lord of the Rings: The Return of the King,8.9,Orlando Bloom
Pulp Fiction,8.9,John Travolta
Pulp Fiction,8.9,Uma Thurman
Pulp Fiction,8.9,Samuel L. Jackson
Pulp Fiction,8.9,Bruce Willis
Schindler's List,8.9,Liam Neeson
Schindler's List,8.9,Ralph Fiennes
Schindler's List,8.9,Ben Kingsley
Schindler's List,8.9,Caroline Goodall
Inception,8.8,Leonardo DiCaprio
Inception,8.8,Joseph Gordon-Levitt
Inception,8.8,Elliot Page
Inception,8.8,Ken Watanabe
Fight Club,8.8,Brad Pitt
Fight Club,8.8,Edward Norton
Fight Club,8.8,Meat Loaf
Fight Club,8.8,Zach Grenier
The Lord of the Rings: The Fellowship of the Ring,8.8,Elijah Wood
The Lord of the Rings: The Fellowship of the Ring,8.8,Ian McKellen
The Lord of the Rings: The Fellowship of the Ring,8.8,Orlando Bloom
The Lord of the Rings: The Fellowship of the Ring,8.8,Sean Bean
Forrest Gump,8.8,Tom Hanks
Forrest Gump,8.8,Robin Wright
Forrest Gump,8.8,Gary Sinise
Forrest Gump,8.8,Sally Field
The Lord of the Rings: The Two Towers,8.7,Elijah Wood
The Lord of the Rings: The Two Towers,8.7,Ian McKellen
The Lord of the Rings: The Two Towers,8.7,Viggo Mortensen
The Lord of the Rings: The Two Towers,8.7,Orlando Bloom
The Matrix,8.7,Lilly Wachowski
The Matrix,8.7,Keanu Reeves
The Matrix,8.7,Laurence Fishburne
The Matrix,8.7,Carrie-Anne Moss
Goodfellas,8.7,Robert De Niro
Goodfellas,8.7,Ray Liotta
Goodfellas,8.7,Joe Pesci
Goodfellas,8.7,Lorraine Bracco
Star Wars: Episode V - The Empire Strikes Back,8.7,Mark Hamill
Star Wars: Episode V - The Empire Strikes Back,8.7,Harrison Ford
Star Wars: Episode V - The Empire Strikes Back,8.7,Carrie Fisher
Star Wars: Episode V - The Empire Strikes Back,8.7,Billy Dee Williams
One Flew Over the Cuckoo's Nest,8.7,Jack Nicholson
One Flew Over the Cuckoo's Nest,8.7,Louise Fletcher
One Flew Over the Cuckoo's Nest,8.7,Michael Berryman
One Flew Over the Cuckoo's Nest,8.7,Peter Brocco
Gisaengchung,8.6,Kang-ho Song
Gisaengchung,8.6,Lee Sun-kyun
Gisaengchung,8.6,Cho Yeo-jeong
Gisaengchung,8.6,Choi Woo-sik
Interstellar,8.6,Matthew McConaughey
Interstellar,8.6,Anne Hathaway
Interstellar,8.6,Jessica Chastain
Interstellar,8.6,Mackenzie Foy
Cidade de Deus,8.6,Kátia Lund
Cidade de Deus,8.6,Alexandre Rodrigues
Cidade de Deus,8.6,Leandro Firmino
Cidade de Deus,8.6,Matheus Nachtergaele
Sen to Chihiro no kamikakushi,8.6,Daveigh Chase
Sen to Chihiro no kamikakushi,8.6,Suzanne Pleshette
Sen to Chihiro no kamikakushi,8.6,Miyu Irino
Sen to Chihiro no kamikakushi,8.6,Rumi Hiiragi
Saving Private Ryan,8.6,Tom Hanks
Saving Private Ryan,8.6,Matt Damon
Saving Private Ryan,8.6,Tom Sizemore
Saving Private Ryan,8.6,Edward Burns
The Green Mile,8.6,Tom Hanks
The Green Mile,8.6,Michael Clarke Duncan
The Green Mile,8.6,David Morse
The Green Mile,8.6,Bonnie Hunt
La vita è bella,8.6,Roberto Benigni
La vita è bella,8.6,Nicoletta Braschi
La vita è bella,8.6,Giorgio Cantarini
La vita è bella,8.6,Giustino Durano
Se7en,8.6,Morgan Freeman
Se7en,8.6,Brad Pitt
Se7en,8.6,Kevin Spacey
Se7en,8.6,Andrew Kevin Walker
The Silence of the Lambs,8.6,Jodie Foster
The Silence of the Lambs,8.6,Anthony Hopkins
The Silence of the Lambs,8.6,Lawrence A. Bonney
The Silence of the Lambs,8.6,Kasi Lemmons
Star Wars,8.6,Mark Hamill
Star Wars,8.6,Harrison Ford
Star Wars,8.6,Carrie Fisher
Star Wars,8.6,Alec Guinness
Joker,8.5,Joaquin Phoenix
Joker,8.5,Robert De Niro
Joker,8.5,Zazie Beetz
Joker,8.5,Frances Conroy
Whiplash,8.5,Miles Teller
Whiplash,8.5,J.K. Simmons
Whiplash,8.5,Melissa Benoist
Whiplash,8.5,Paul Reiser
The Intouchables,8.5,Éric Toledano
The Intouchables,8.5,François Cluzet
The Intouchables,8.5,Omar Sy
The Intouchables,8.5,Anne Le Ny
The Prestige,8.5,Christian Bale
The Prestige,8.5,Hugh Jackman
The Prestige,8.5,Scarlett Johansson
The Prestige,8.5,Michael Caine
The Departed,8.5,Leonardo DiCaprio
The Departed,8.5,Matt Damon
The Departed,8.5,Jack Nicholson
The Departed,8.5,Mark Wahlberg
The Pianist,8.5,Adrien Brody
The Pianist,8.5,Thomas Kretschmann
The Pianist,8.5,Frank Finlay
The Pianist,8.5,Emilia Fox
Gladiator,8.5,Russell Crowe
Gladiator,8.5,Joaquin Phoenix
Gladiator,8.5,Connie Nielsen
Gladiator,8.5,Oliver Reed
American History X,8.5,Edward Norton
American History X,8.5,Edward Furlong
American History X,8.5,Beverly D'Angelo
American History X,8.5,Jennifer Lien
The Usual Suspects,8.5,Kevin Spacey
The Usual Suspects,8.5,Gabriel Byrne
The Usual Suspects,8.5,Chazz Palminteri
The Usual Suspects,8.5,Stephen Baldwin
Léon,8.5,Jean Reno
Léon,8.5,Gary Oldman
Léon,8.5,Natalie Portman
Léon,8.5,Danny Aiello
The Lion King,8.5,Rob Minkoff
The Lion King,8.5,Matthew Broderick
The Lion King,8.5,Jeremy Irons
The Lion King,8.5,James Earl Jones
Terminator 2: Judgment Day,8.5,Arnold Schwarzenegger
Terminator 2: Judgment Day,8.5,Linda Hamilton
Terminator 2: Judgment Day,8.5,Edward Furlong
Terminator 2: Judgment Day,8.5,Robert Patrick
Nuovo Cinema Paradiso,8.5,Philippe Noiret
Nuovo Cinema Paradiso,8.5,Enzo Cannavale
Nuovo Cinema Paradiso,8.5,Antonella Attili
Nuovo Cinema Paradiso,8.5,Isa Danieli
Back to the Future,8.5,Michael J. Fox
Back to the Future,8.5,Christopher Lloyd
Back to the Future,8.5,Lea Thompson
Back to the Future,8.5,Crispin Glover
Capharnaüm,8.4,Zain Al Rafeea
Capharnaüm,8.4,Yordanos Shiferaw
Capharnaüm,8.4,Boluwatife Treasure Bankole
Capharnaüm,8.4,Kawsar Al Haddad
